Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_index,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
2000L,295661,Top 20%,1,10,1,60.8190587601856,60.8190587601856,0.0,298.6961142,0.809789548,12.4136829373889,0.0610837728285892,-0.0043291845359469,0.3993825483930356,0.0
2000L,295661,Top 20%,1,20,2,58.8084968027709,58.8084968027709,0.0,297.5667497,0.906115523,15.6549292517762,0.0289934502695115,0.1413997227603773,0.3747209012114699,0.0
2000L,295661,Top 20%,1,30,3,55.9577185328271,55.9577185328271,0.0,295.3251557,1.108833749,19.045879973357,0.0200116691898751,0.2122393426963008,0.3182463691888309,62.137469
2000L,295661,Top 20%,1,40,4,55.6394782854859,55.6394782854859,0.0,297.1890835,1.665600068,22.749920348579,0.0282688275017553,0.1910033894942835,0.2182045306937185,1428.583604
2000L,295661,Top 20%,1,50,5,50.8915561901907,50.8915561901907,0.0,298.5558904,3.282246032,26.4174731460923,0.0310976033380616,0.1147128574513565,0.11309875045482,4087.60366
2000L,295661,Top 20%,1,60,6,46.911489620107,46.911489620107,0.0,303.4873973,7.343470522,30.1076380106571,-0.0109670449474613,0.0558972535935233,0.0512307695326873,9081.017504
CL G,295661,Top 20%,1,0,7,59.1731712515819,59.1731712515819,0.0,312.6377542188092,1.148556261913921,14.317876795768663,0.0163306609710963,0.2146261212403446,0.136172795300259,0.0
CL G,295661,Top 20%,1,10,8,58.9250046626257,58.9250046626257,0.0,305.2032334691658,1.7334654507693354,16.345129361768002,0.0264679256537198,0.2125651994573227,0.1121111180881729,0.0
CL G,295661,Top 20%,1,20,9,57.7817294455915,57.7817294455915,0.0,301.0348162179397,2.68646952621091,19.066785091861007,0.0316950489948855,0.1495061712636675,0.067496749477217,0.0
CL G,295661,Top 20%,1,30,10,55.7654692044672,55.7654692044672,0.0,293.5855581107471,3.6350434193729497,21.57476890972543,0.0330594002006096,0.1146407621535333,0.0451739256014069,0.0
CL G,295661,Top 20%,1,40,11,52.0052849530407,52.0052849530407,0.0,285.5830779669038,4.513822287248695,23.62605441723205,0.0315102183748025,0.1140329302952412,0.0397386680456679,44.559095
