Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
2000L,295009,Top 20%,1,10,1,1,8,15,62.8475432958103,62.8475432958103,0.0,297.2414671,0.797036337,6.84351123445825,0.0434401063922205,0.2346798483624558,0.4023751411729912,227.285048
2000L,295009,Top 20%,1,20,2,2,9,16,61.0436733719665,61.0436733719665,0.0,297.4657993,0.95150184,10.3618868894316,-0.0034364185931737,0.2598297576274011,0.3941801285420214,240.026668
2000L,295009,Top 20%,1,30,3,3,10,17,58.4421599613668,58.4421599613668,0.0,296.7223048,1.136285714,14.4025440941385,0.0143372678799521,0.2424954382568026,0.3504292515949459,240.026668
2000L,295009,Top 20%,1,40,4,4,11,18,55.0927617675792,55.0927617675792,0.0,295.9581542,1.536941748,18.4822474800177,0.0266274252152919,0.1769717012742437,0.253803706871534,240.026668
2000L,295009,Top 20%,1,50,5,5,12,19,53.1124953262727,53.1124953262727,0.0,293.3133114,1.828203883,21.72963125,0.0217498208469009,0.1294066683557168,0.1918519058292959,240.026668
2000L,295009,Top 20%,1,60,6,6,13,20,50.8106494482559,50.8106494482559,0.0,296.8181818,2.684709469,25.2959583259325,0.0464697302391979,0.0630622557745774,0.1043600488322377,2556.854206
CL G,295009,Top 20%,1,0,0,7,14,21,62.0865921756699,62.0865921756699,0.0,299.4269201020925,1.1867340252092924,11.67594538400216,0.0362208473918602,0.0840341955094708,0.2729630620367389,7.204862
CL G,295009,Top 20%,1,10,1,8,15,22,61.2622249050822,61.2622249050822,0.0,299.0745498202121,1.4292254719853843,13.897962548473576,0.0336183104365979,0.0868648572003344,0.1513966130495681,10.13469
CL G,295009,Top 20%,1,20,2,9,16,23,60.4378576344945,60.4378576344945,0.0,298.6773709111182,1.6254144045577217,16.504695577832397,0.0304056568510608,0.0953908155672997,0.1077241755091871,120.200008
CL G,295009,Top 20%,1,30,3,10,17,24,59.9800703834454,59.9800703834454,0.0,298.6042988589697,2.048477641402419,19.13661351542246,0.0268217481935558,0.092146233806284,0.0732765372897956,120.200008
CL G,295009,Top 20%,1,40,4,11,18,25,59.3635300517329,59.3635300517329,0.0,299.3378434665457,2.672390682055042,21.490777372057824,0.0230766218169098,0.1157902197508179,0.0676705404540041,120.200008
CL G,295009,Top 20%,1,50,5,12,19,26,51.7578301139012,51.7578301139012,0.0,301.7048201781081,3.4176172714196014,23.37130264004424,0.0193514908684695,0.1034792157548575,0.0454007656685491,120.200008
CL G,295009,Top 20%,1,60,6,13,20,27,47.0585448278158,47.0585448278158,0.0,303.15026314011413,4.153539395855627,24.51108646924845,0.0157987442901017,0.0909358068483653,0.030151178718332,7581.401067
CL G,295009,Top 20%,1,70,7,14,21,28,44.0036331389339,75.0669976033117,31.063364464377806,307.433573526233,4.771459648811811,24.83872395785524,0.0125419468181929,0.0812029787884341,0.0202179621916894,18155.63959
CL G,295009,Top 20%,1,80,8,15,22,29,72.0120859144297,72.0120859144297,0.0,305.76000298933934,5.390011656341265,24.307973964468168,0.0096758389836496,0.0736729236553166,0.0134819831311268,20920.30144
CL G,295009,Top 20%,1,90,9,16,23,30,70.3415134105997,70.3415134105997,0.0,304.32833134646205,5.851191814426497,23.14462760484919,0.0072663371118982,0.0668971543718241,0.0086089963675271,20971.64623
CL G,295009,Top 20%,1,100,10,17,24,31,67.1802096516352,67.1802096516352,0.0,303.8864386980924,6.161454564716098,22.069893601859864,0.0053505333228849,0.0621520502347847,0.0051487942159119,24633.56478
CL G,295009,Top 20%,1,110,11,18,25,32,64.1657307000599,64.1657307000599,0.0,303.7401056116193,6.323600635164995,20.95872243383721,0.0039366955310759,0.0557070516323036,0.0024095144686768,27950.47958
CL G,295009,Top 20%,1,120,12,19,26,33,59.8425521214947,59.8425521214947,0.0,302.08723319104314,6.396083845590437,20.071187016882583,0.0030042674454573,0.0740864859442597,0.0006189022858635,31498.0727999999
CL G,295009,Top 20%,1,130,13,20,27,34,55.2510284253646,55.2510284253646,0.0,296.9126161578004,6.385625448157018,20.158350722088265,0.0025038685695351,0.0785964948098612,-0.001809591846255,37007.36263
CL G,295009,Top 20%,1,140,14,21,28,35,50.6240055840493,50.6240055840493,0.0,291.3632592771056,6.24387678689974,20.967489642023928,0.0023572942013352,0.0772368207199296,-0.0039996052004667,45593.03081
CL G,295009,Top 20%,1,150,15,22,29,36,46.292198189347,46.292198189347,0.0,285.37853050661136,6.198428891849453,22.17836507463133,0.0024575154334032,0.0707421784054663,-0.0055645072645317,56098.56293
CL G,295009,Top 20%,1,160,16,23,30,37,42.4647887608517,42.4647887608517,0.0,282.9531316728484,6.331285574774966,23.33649947761792,0.0026686791528049,0.0675875097480299,-0.007047805032277,66577.04323
CL G,295009,Top 20%,1,170,17,24,31,38,35.1677423455227,35.1677423455227,0.0,282.1135174331851,6.542757694151163,24.199280340116964,0.0028261080411258,0.0756169848806816,-0.0097702644982792,83330.8811999999
CL G,295009,Top 20%,1,180,18,25,32,39,30.9694474788516,30.9694474788516,0.0,280.83856646462414,6.752995825214564,24.598104963663275,0.0027363005744714,0.0631519272726043,-0.0097258655474412,88254.42024
CL G,295009,Top 20%,1,190,19,26,33,40,26.6535400930304,26.6535400930304,0.0,280.02553288745776,6.875389854410255,24.237444923993326,0.002176931023467,0.0596933949728759,-0.0107008904787657,88378.3035299999
CL G,295009,Top 20%,1,200,20,27,34,41,20.7979502098181,20.7979502098181,0.0,279.6746085368866,6.8251689587052855,23.09915413387721,0.000896849453258,0.0599248410818649,-0.01232335575203,88378.3035299999
CL G,295009,Top 20%,1,210,21,28,35,42,17.7430385209361,53.2716800063401,35.528641485403995,278.45936780188987,6.43029228256449,21.449675375925317,-0.0013839182764904,0.0600530656692496,-0.0140510667686839,88378.3035299999
CL G,295009,Top 20%,1,220,22,29,36,43,50.2167683174582,50.2167683174582,0.0,276.5418577703347,5.974607394340288,19.380945466183203,-0.0049741705115934,0.0568328370710418,-0.0150799847795814,88378.3035299999
CL G,295009,Top 20%,1,230,23,30,37,44,47.3286750538422,47.3286750538422,0.0,274.60689490666243,5.475169367701512,17.173772936750463,-0.0102115298033459,0.0485457367151529,-0.0146246681807733,88378.3035299999
CL G,295009,Top 20%,1,240,24,31,38,45,44.3002907757721,44.3002907757721,0.0,273.79729062455704,4.980620727342568,15.184910235921748,-0.017462442908523,0.0624754585061634,-0.021492212454988,88378.3035299999
CL G,295009,Top 20%,1,250,25,32,39,46,43.0401207176003,43.0401207176003,0.0,272.84468072897505,4.488939508044111,13.61250275707667,-0.0271221807893801,0.0729126465591952,-0.0289662407204757,88378.3035299999
80L,295579,Top 20%,1,0,0,0,0,0,39.013735462599,,0.0,284.7835307,0.263517094,3.13414014209591,0.0373282584015814,-1.859720895275469,0.7348371098270339,0.0
